==== JOB START : Mon 18 Aug 2025 07:38:47 PM KST ====
/data/clue9986/anaconda3/bin/python
Epoch [162/865], Train Loss: 0.0634, Validation Loss: 1.1479, Validation Accuracy: 69.12%
Epoch [163/865], Train Loss: 0.0643, Validation Loss: 1.1545, Validation Accuracy: 69.10%
Epoch [164/865], Train Loss: 0.0662, Validation Loss: 1.1530, Validation Accuracy: 68.87%
Epoch [165/865], Train Loss: 0.0665, Validation Loss: 1.1488, Validation Accuracy: 69.10%
Epoch [166/865], Train Loss: 0.0661, Validation Loss: 1.1530, Validation Accuracy: 69.20%
Epoch [167/865], Train Loss: 0.0641, Validation Loss: 1.1533, Validation Accuracy: 69.07%
Epoch [168/865], Train Loss: 0.0633, Validation Loss: 1.1529, Validation Accuracy: 68.84%
Epoch [169/865], Train Loss: 0.0654, Validation Loss: 1.1505, Validation Accuracy: 69.15%
Epoch [170/865], Train Loss: 0.0644, Validation Loss: 1.1589, Validation Accuracy: 68.97%
Epoch [171/865], Train Loss: 0.0650, Validation Loss: 1.1539, Validation Accuracy: 69.20%
Epoch [172/865], Train Loss: 0.0648, Validation Loss: 1.1548, Validation Accuracy: 68.89%
Epoch [173/865], Train Loss: 0.0637, Validation Loss: 1.1502, Validation Accuracy: 69.07%
Epoch [174/865], Train Loss: 0.0659, Validation Loss: 1.1560, Validation Accuracy: 68.94%
Epoch [175/865], Train Loss: 0.0646, Validation Loss: 1.1523, Validation Accuracy: 69.15%
Epoch [176/865], Train Loss: 0.0648, Validation Loss: 1.1521, Validation Accuracy: 68.97%
Epoch [177/865], Train Loss: 0.0656, Validation Loss: 1.1535, Validation Accuracy: 69.04%
Epoch [178/865], Train Loss: 0.0654, Validation Loss: 1.1550, Validation Accuracy: 68.97%
Epoch [179/865], Train Loss: 0.0649, Validation Loss: 1.1579, Validation Accuracy: 69.22%
Epoch [180/865], Train Loss: 0.0644, Validation Loss: 1.1495, Validation Accuracy: 69.10%
Epoch [181/865], Train Loss: 0.0649, Validation Loss: 1.1551, Validation Accuracy: 69.22%
Epoch [182/865], Train Loss: 0.0643, Validation Loss: 1.1539, Validation Accuracy: 69.02%
Epoch [183/865], Train Loss: 0.0646, Validation Loss: 1.1558, Validation Accuracy: 69.17%
Epoch [184/865], Train Loss: 0.0652, Validation Loss: 1.1567, Validation Accuracy: 69.30%
Epoch [185/865], Train Loss: 0.0663, Validation Loss: 1.1561, Validation Accuracy: 68.79%
Epoch [186/865], Train Loss: 0.0648, Validation Loss: 1.1502, Validation Accuracy: 68.92%
Epoch [187/865], Train Loss: 0.0629, Validation Loss: 1.1619, Validation Accuracy: 69.07%
Epoch [188/865], Train Loss: 0.0669, Validation Loss: 1.1556, Validation Accuracy: 68.71%
Epoch [189/865], Train Loss: 0.0647, Validation Loss: 1.1549, Validation Accuracy: 68.94%
Epoch [190/865], Train Loss: 0.0651, Validation Loss: 1.1533, Validation Accuracy: 69.20%
Epoch [191/865], Train Loss: 0.0639, Validation Loss: 1.1567, Validation Accuracy: 69.12%
Epoch [192/865], Train Loss: 0.0643, Validation Loss: 1.1598, Validation Accuracy: 69.12%
Epoch [193/865], Train Loss: 0.0639, Validation Loss: 1.1503, Validation Accuracy: 69.04%
Epoch [194/865], Train Loss: 0.0646, Validation Loss: 1.1541, Validation Accuracy: 68.97%
Epoch [195/865], Train Loss: 0.0633, Validation Loss: 1.1564, Validation Accuracy: 69.12%
Epoch [196/865], Train Loss: 0.0659, Validation Loss: 1.1500, Validation Accuracy: 69.04%
Epoch [197/865], Train Loss: 0.0642, Validation Loss: 1.1540, Validation Accuracy: 68.89%
Epoch [198/865], Train Loss: 0.0642, Validation Loss: 1.1549, Validation Accuracy: 69.04%
Epoch [199/865], Train Loss: 0.0654, Validation Loss: 1.1500, Validation Accuracy: 68.89%
Epoch [200/865], Train Loss: 0.0668, Validation Loss: 1.1525, Validation Accuracy: 68.99%
Epoch [201/865], Train Loss: 0.0630, Validation Loss: 1.1585, Validation Accuracy: 69.12%
Epoch [202/865], Train Loss: 0.0663, Validation Loss: 1.1531, Validation Accuracy: 68.97%
Epoch [203/865], Train Loss: 0.0654, Validation Loss: 1.1599, Validation Accuracy: 69.12%
Epoch [204/865], Train Loss: 0.0660, Validation Loss: 1.1571, Validation Accuracy: 69.02%
Epoch [205/865], Train Loss: 0.0639, Validation Loss: 1.1539, Validation Accuracy: 69.17%
Epoch [206/865], Train Loss: 0.0655, Validation Loss: 1.1523, Validation Accuracy: 69.22%
Epoch [207/865], Train Loss: 0.0653, Validation Loss: 1.1546, Validation Accuracy: 68.92%
Epoch [208/865], Train Loss: 0.0663, Validation Loss: 1.1546, Validation Accuracy: 69.04%
Epoch [209/865], Train Loss: 0.0652, Validation Loss: 1.1518, Validation Accuracy: 69.27%
Epoch [210/865], Train Loss: 0.0651, Validation Loss: 1.1529, Validation Accuracy: 69.04%
Epoch [211/865], Train Loss: 0.0666, Validation Loss: 1.1519, Validation Accuracy: 69.02%
Epoch [212/865], Train Loss: 0.0641, Validation Loss: 1.1545, Validation Accuracy: 69.22%
Epoch [213/865], Train Loss: 0.0644, Validation Loss: 1.1528, Validation Accuracy: 69.07%
Epoch [214/865], Train Loss: 0.0650, Validation Loss: 1.1533, Validation Accuracy: 68.69%
Epoch [215/865], Train Loss: 0.0651, Validation Loss: 1.1550, Validation Accuracy: 68.89%
Epoch [216/865], Train Loss: 0.0642, Validation Loss: 1.1494, Validation Accuracy: 68.89%
Epoch [217/865], Train Loss: 0.0652, Validation Loss: 1.1523, Validation Accuracy: 68.87%
Epoch [218/865], Train Loss: 0.0651, Validation Loss: 1.1555, Validation Accuracy: 68.89%
Epoch [219/865], Train Loss: 0.0633, Validation Loss: 1.1524, Validation Accuracy: 68.97%
Epoch [220/865], Train Loss: 0.0657, Validation Loss: 1.1501, Validation Accuracy: 68.89%
Epoch [221/865], Train Loss: 0.0671, Validation Loss: 1.1583, Validation Accuracy: 69.02%
Epoch [222/865], Train Loss: 0.0667, Validation Loss: 1.1507, Validation Accuracy: 68.94%
Epoch [223/865], Train Loss: 0.0646, Validation Loss: 1.1528, Validation Accuracy: 69.02%
Epoch [224/865], Train Loss: 0.0641, Validation Loss: 1.1492, Validation Accuracy: 68.94%
Epoch [225/865], Train Loss: 0.0641, Validation Loss: 1.1531, Validation Accuracy: 69.02%
Epoch [226/865], Train Loss: 0.0664, Validation Loss: 1.1564, Validation Accuracy: 68.92%
Epoch [227/865], Train Loss: 0.0659, Validation Loss: 1.1560, Validation Accuracy: 69.07%
Epoch [228/865], Train Loss: 0.0637, Validation Loss: 1.1539, Validation Accuracy: 68.97%
Epoch [229/865], Train Loss: 0.0649, Validation Loss: 1.1525, Validation Accuracy: 69.12%
Epoch [230/865], Train Loss: 0.0646, Validation Loss: 1.1522, Validation Accuracy: 69.04%
Epoch [231/865], Train Loss: 0.0648, Validation Loss: 1.1536, Validation Accuracy: 69.15%
Epoch [232/865], Train Loss: 0.0641, Validation Loss: 1.1539, Validation Accuracy: 68.97%
Epoch [233/865], Train Loss: 0.0648, Validation Loss: 1.1490, Validation Accuracy: 69.07%
Epoch [234/865], Train Loss: 0.0641, Validation Loss: 1.1544, Validation Accuracy: 68.97%
Epoch [235/865], Train Loss: 0.0641, Validation Loss: 1.1552, Validation Accuracy: 68.87%
Epoch [236/865], Train Loss: 0.0646, Validation Loss: 1.1545, Validation Accuracy: 68.71%
Epoch [237/865], Train Loss: 0.0675, Validation Loss: 1.1560, Validation Accuracy: 68.94%
Epoch [238/865], Train Loss: 0.0646, Validation Loss: 1.1521, Validation Accuracy: 68.94%
Epoch [239/865], Train Loss: 0.0642, Validation Loss: 1.1471, Validation Accuracy: 69.07%
Epoch [240/865], Train Loss: 0.0650, Validation Loss: 1.1536, Validation Accuracy: 69.15%
Epoch [241/865], Train Loss: 0.0650, Validation Loss: 1.1576, Validation Accuracy: 69.27%
Epoch [242/865], Train Loss: 0.0646, Validation Loss: 1.1505, Validation Accuracy: 68.92%
Epoch [243/865], Train Loss: 0.0640, Validation Loss: 1.1552, Validation Accuracy: 69.12%
Epoch [244/865], Train Loss: 0.0649, Validation Loss: 1.1501, Validation Accuracy: 68.89%
Epoch [245/865], Train Loss: 0.0648, Validation Loss: 1.1527, Validation Accuracy: 69.22%
Epoch [246/865], Train Loss: 0.0663, Validation Loss: 1.1522, Validation Accuracy: 69.25%
Epoch [247/865], Train Loss: 0.0657, Validation Loss: 1.1480, Validation Accuracy: 68.97%
Epoch [248/865], Train Loss: 0.0643, Validation Loss: 1.1537, Validation Accuracy: 68.97%
Epoch [249/865], Train Loss: 0.0639, Validation Loss: 1.1566, Validation Accuracy: 68.71%
Epoch [250/865], Train Loss: 0.0647, Validation Loss: 1.1524, Validation Accuracy: 69.10%
Epoch [251/865], Train Loss: 0.0650, Validation Loss: 1.1532, Validation Accuracy: 68.97%
Epoch [252/865], Train Loss: 0.0638, Validation Loss: 1.1540, Validation Accuracy: 69.04%
Epoch [253/865], Train Loss: 0.0655, Validation Loss: 1.1480, Validation Accuracy: 68.92%
Epoch [254/865], Train Loss: 0.0654, Validation Loss: 1.1559, Validation Accuracy: 69.30%
Epoch [255/865], Train Loss: 0.0635, Validation Loss: 1.1498, Validation Accuracy: 69.10%
Epoch [256/865], Train Loss: 0.0640, Validation Loss: 1.1520, Validation Accuracy: 69.15%
Epoch [257/865], Train Loss: 0.0648, Validation Loss: 1.1567, Validation Accuracy: 69.04%
Epoch [258/865], Train Loss: 0.0654, Validation Loss: 1.1531, Validation Accuracy: 69.38%
Epoch [259/865], Train Loss: 0.0642, Validation Loss: 1.1485, Validation Accuracy: 68.92%
Epoch [260/865], Train Loss: 0.0651, Validation Loss: 1.1508, Validation Accuracy: 69.10%
Epoch [261/865], Train Loss: 0.0639, Validation Loss: 1.1536, Validation Accuracy: 69.27%
Epoch [262/865], Train Loss: 0.0662, Validation Loss: 1.1541, Validation Accuracy: 69.02%
Epoch [263/865], Train Loss: 0.0651, Validation Loss: 1.1553, Validation Accuracy: 69.17%
Epoch [264/865], Train Loss: 0.0649, Validation Loss: 1.1533, Validation Accuracy: 69.12%
Epoch [265/865], Train Loss: 0.0651, Validation Loss: 1.1558, Validation Accuracy: 69.07%
Epoch [266/865], Train Loss: 0.0650, Validation Loss: 1.1535, Validation Accuracy: 69.07%
Epoch [267/865], Train Loss: 0.0653, Validation Loss: 1.1508, Validation Accuracy: 69.04%
Epoch [268/865], Train Loss: 0.0647, Validation Loss: 1.1572, Validation Accuracy: 69.12%
Epoch [269/865], Train Loss: 0.0638, Validation Loss: 1.1579, Validation Accuracy: 69.04%
Epoch [270/865], Train Loss: 0.0649, Validation Loss: 1.1486, Validation Accuracy: 69.10%
